"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ENTPD42",2.21128070641783e-18,0.265774847849014,0.753,0.437,4.33565808107344e-14,"4","ENTPD4"
"ANKDD1B1",2.2237693180258e-18,0.333599203171357,0.537,0.293,4.36014450185319e-14,"4","ANKDD1B"
"C19orf122",2.24895145970315e-18,0.312618835013923,0.537,0.284,4.40951912703997e-14,"4","C19orf12"
"UBE2L5P2",2.25718414705139e-18,0.732675804966925,0.335,0.146,4.42566095712366e-14,"4","UBE2L5P"
"MRPL542",2.26346989643712e-18,0.392248012662832,0.585,0.318,4.43798542594427e-14,"4","MRPL54"
"AP5S1",2.27638523044912e-18,0.258745611208603,0.557,0.311,4.46330852134159e-14,"4","AP5S1"
"RAN2",2.27879614209371e-18,0.302689495628727,0.676,0.392,4.46803559580314e-14,"4","RAN"
"NUBP22",2.29822166166694e-18,0.396686160380081,0.696,0.394,4.50612321203037e-14,"4","NUBP2"
"HELLS2",2.29950939853164e-18,0.282251337554266,0.716,0.4,4.50864807770098e-14,"4","HELLS"
"ABCF32",2.30015024683084e-18,0.262429884435583,0.565,0.308,4.50990458896122e-14,"4","ABCF3"
"DTX21",2.31960481545026e-18,0.713236936646032,0.315,0.135,4.54804916165332e-14,"4","DTX2"
"CDR2L2",2.33543807012519e-18,0.66059288467922,0.375,0.178,4.57909342409446e-14,"4","CDR2L"
"ANKRD372",2.50697752367698e-18,0.46476375220535,0.656,0.382,4.91543083067345e-14,"4","ANKRD37"
"ZSCAN322",2.52548780624789e-18,0.576632932311707,0.619,0.351,4.95172394171024e-14,"4","ZSCAN32"
"PBK2",2.55933108255384e-18,0.659961321973868,0.506,0.265,5.01808045356332e-14,"4","PBK"
"KLK151",2.59033680187146e-18,0.774726904086232,0.364,0.174,5.07887336742937e-14,"4","KLK15"
"ZNF6552",2.5926072923404e-18,0.337836277945356,0.554,0.299,5.08332511809183e-14,"4","ZNF655"
"SAT22",2.61476522892666e-18,0.919249757727429,0.366,0.17,5.1267701843565e-14,"4","SAT2"
"PET1002",2.63072732655207e-18,0.580187297501181,0.401,0.195,5.15806706917065e-14,"4","PET100"
"GCNT31",2.66930180122843e-18,0.47379937535109,0.364,0.166,5.23370004166858e-14,"4","GCNT3"
"GPD12",2.68425570061702e-18,0.635323997496935,0.438,0.22,5.2630201521998e-14,"4","GPD1"
"YKT62",2.6951106406529e-18,0.649787831979293,0.509,0.274,5.28430343312813e-14,"4","YKT6"
"ATXN12",2.74580722348258e-18,0.432814783954574,1,0.679,5.3837042230823e-14,"4","ATXN1"
"POLL1",2.75028440276954e-18,0.266277355275764,0.477,0.247,5.39248262851025e-14,"4","POLL"
"ZCCHC42",2.75054976615904e-18,0.396028558750687,0.614,0.344,5.39300292650804e-14,"4","ZCCHC4"
"MAGOH2",2.77754699555967e-18,0.621687177971959,0.42,0.212,5.44593639419385e-14,"4","MAGOH"
